Character,Middle Chinese,Cantonese,Mandarin
傕,kæwk4,gok3,jue2
傖,dzræng1,caang4,cang1
傘,san2,saan3,san3
備,bij3,bei6,bei4
傛,yowng1,jung4,rong2
傛,yowng2,jung6,yong3
傜,yew1,jiu4,yao2
傝,thap4,taap3,ta4
傞,tsha1,so1,suo1
催,tshwoj1,ceoi1,cui1
傭,yowng1,jung4,yong1
傭,trhjowng1,cung1,chong1
傱,sjowng2,sung2,song3
傲,ngaw3,ngou6,ao4
傳,drjwen1,cyun4,chuan2
傳,drjwen3,zyun6,zhuan4
傴,ʔju2,jyu2,yu3
債,tsrɛɨ3,zaai3,zhai4
傷,syang1,soeng1,shang1
傸,tshrjang2,cong2,chuang3
傺,trhjej3,cai3,chi4
傻,srwæ2,so4,sha3
傾,khjwieng1,king1,qing1
僀,tej3,dai3,di4
僁,sit4,sit3,xie4
僂,luw1,leoi5,lü3
僄,phjew1,piu1,piao4
僅,gin3,gan2,jin3
僅,gin3,gan2,jin4
僆,len3,leng1,lian4
僆,ljen2,lin5,lian3
僇,ljuw3,luk6,lu4
僉,tshjem1,cim1,qian1
僋,thom3,taam3,tan4
僎,dzrjwen2,zaan6,zhuan4
僎,tswin1,zyun1,zun1
像,zjang2,zoeng6,xiang4
僐,dzyen2,sin6,shan4
僑,gjew1,kiu4,qiao2
僒,gin2,kwan3,jiong3
僓,thwoj2,teoi4,tui3
僔,tswon2,zyun2,zun3
僖,xi1,hei1,xi1
僗,law3,lou4,lao2
僙,kwang1,gong1,guang1
僚,lew1,liu4,liao2
僛,khi1,hei1,qi1
僝,dzrjwen3,zaan6,zhuan4
僝,dzrɛn1,saan4,chan2
僟,kjɨj1,gei1,ji1
僤,dzyen1,daan6,dan4
僥,ngew1,jiu4,yao2
僦,tsjuw3,zau6,jiu4
僧,song1,zang1,seng1
僨,pjun3,fan5,fen4
僩,hæn2,haan5,xian4
僬,dzjew1,ziu1,jiao1
僭,tsem3,zim3,jian4
僮,duwng1,tung4,tong2
僯,lin2,leon5,lin3
僰,bok4,bat6,bo2
僵,kjang1,goeng1,jiang1
僶,min2,man5,min3
僸,ngim2,gam3,jin4
價,kæ3,gaa3,jia4
僻,phjiek4,pik1,pi4
僽,dzrjuw3,zau6,zhou1
僾,ʔjɨj2,oi2,ai4
僿,syi3,si1,sai4
儀,ngje1,ji4,yi2
儁,tswin3,zeon3,jun4
儂,nowng1,nung4,nong2
儃,dan1,cin4,chan2
儅,tang1,dong1,dang4
儆,kjæng2,ging2,jing3
儇,xjwen1,hyun1,xuan1
儈,kwaj3,kui2,kuai4
儉,gjem2,gim6,jian3
儊,tshrjo3,co3,chu4
儋,tam1,daam1,dan1
儐,pin3,ban3,bin1
儐,pin1,ban1,bin1
儑,ngom3,ngaam4,an2
儒,nyu1,jyu4,ru2
儓,doj1,toi4,tai2
儔,drjuw1,cau4,chou2
儕,dzrɛj1,caai4,chai2
儖,lam1,laam4,lan2
儗,ngi2,ji5,ni3
儗,ngi2,ji6,yi4
儛,mju2,mou5,wu3
儜,nrɛng1,ning4,ning2
償,dzyang1,soeng4,chang2
儠,ljep4,lip6,lie4
儡,lwoj1,leoi5,lei3
儢,ljo2,leoi5,lü3
儥,yuwk4,juk6,yu4
儥,duwk4,dik6,di2
儥,duwk4,duk6,du2
儦,pjew1,biu1,biao1
儩,sje3,ci3,si4
優,ʔjuw1,jau1,you1
儭,tshrin3,can3,chen4
儯,dong1,tang4,teng2
儰,hjwe2,wai5,wei3
儱,luwng2,lung5,long3
儱,ljowng3,lung5,long4
儲,drjo1,cyu5,chu3
儳,dzrɛm1,caam4,chan2
儳,dzrɛm3,caam3,chan4
儴,nyang1,joeng4,rang2
儵,syuwk4,suk1,shu1
儶,hwej3,wai6,hui4
儷,lej3,lai6,li4
儸,la1,lo4,luo2
儹,tswan2,zaan2,zan3
儺,na1,no4,nuo2
儻,thang2,tong2,tang3
儼,ngjæm2,jim5,yan3
儽,lwij1,leoi5,lei3
儾,nang3,nong6,nang4
兀,ngwot4,ngat6,wu4
允,ywin2,wan5,yun3
元,ngjwon1,jyun4,yuan2
兄,xjwæng1,hing1,xiong1
充,tshyuwng1,cung1,chong1
兆,drjew2,siu6,zhao4
兇,xjowng1,hung1,xiong1
先,sen1,sin1,xian1
光,kwang1,gwong1,guang1
克,khok4,hak1,ke4
兌,dwaj3,deoi3,dui4
免,mjen2,min5,mian3
兒,nye1,ji4,er2
兒,ngej1,ngai4,ni2
兓,tsim1,zam1,jin1
兔,thu3,tou3,tu4
兕,zij2,zi6,si4
兜,tuw1,dau1,dou1
兟,srin1,san1,shen1
兢,king1,ging1,jing1
內,nwoj3,noi6,nei4
全,dzjwen1,cyun4,quan2
兩,ljang2,loeng5,liang3
兩,ljang2,loeng5,liang3
兩,ljang3,loeng6,liang4
公,kuwng1,gung1,gong1
兮,hej1,hai4,xi1
共,gjowng3,gung6,gong4
共,kjowng1,gung1,gong4
共,kjowng1,gung1,gong1
兵,pjæng1,bing1,bing1
其,gi1,kei4,qi2
其,ki1,gei1,ji1
具,gju3,geoi6,ju4
典,ten2,din2,dian3
冀,kij3,kei3,ji4
冉,nyem1,jim5,ran3
冊,tshrɛk4,caak3,ce4
冋,kweng1,gwing1,jiong1
再,tsoj3,zoi3,zai4
冑,drjuw3,zau6,zhou4
冒,maw3,mou6,mao4
冒,maw3,mak6,mo4
冓,kuw3,gau3,gou4
冕,mjen2,min5,mian3
冘,yim1,jam4,yin2
冘,yuw1,jau4,you2
冞,mje1,mei4,mi2
冠,kwan1,gun1,guan1
冠,kwan3,gun3,guan4
冡,muwng1,mung4,meng2
冢,trjowng2,cung2,zhong3
冤,ʔjwon1,jyun1,yuan1
冥,meng1,ming4,ming2
冪,mek4,mik6,mi4
冬,towng1,dung1,dong1
冰,ping1,bing1,bing1
冱,hu3,wu6,hu4
冶,yæ2,je5,ye3
冷,læng2,laang5,leng3
冹,pjut4,fat1,fu2
冽,ljet4,lit6,lie4
凅,ku3,gu3,gu4
准,tsywin2,zeon2,zhun3
凇,sjowng1,sung1,song1
凊,tshjieng3,cing3,qing4
凋,tew1,diu1,diao1
凌,ling1,ling4,ling2
凍,tuwng1,dung3,dong4
凓,lit4,leot6,li4
凔,tshang1,cong1,cang1
凘,sje1,si1,si1
凙,dak4,dau1,duo2
凚,gim2,gam6,jin4
凜,gim1,lam5,lin3
凝,nging1,jing4,ning2
几,kij2,gei1,ji1
凡,bjom1,faan4,fan2
凰,hwang1,wong4,huang2
凱,khoj2,hoi2,kai3
凳,tong3,dang3,deng4
凶,xjowng1,hung1,xiong1
凸,dwot4,dat6,tu1
凹,ʔɛp4,nap1,ao1
出,tshywij3,ceot1,chu1
函,hom1,haam4,han2
刁,tew1,diu1,diao1
刃,nyin3,jan6,ren4
分,pjun1,fan1,fen1
分,bjun3,fan6,fen4
切,tshet4,cit3,qie1
切,tshet4,cit3,qie4
切,tshej3,cai3,qie4
刈,ngjoj3,ngaai6,yi4
刊,khan1,hon1,kan1
刌,tshwon2,cyun2,cun3
刎,mjun2,man5,wen3
刏,gjɨj1,gei1,ji1
刑,heng1,jing4,xing2
划,hwæ1,waa4,hua2
刓,ngwan1,jyun4,wan2
刕,lij1,lei4,li2
刖,ngjwot4,jyut6,yue4
列,trju1,lit6,lie4
刜,bjut4,fat1,fu2
初,tshrjo1,co1,chu1
刞,tshjo3,ceoi3,qu3
刡,min2,man5,min3
刢,leng1,ling4,ling2
判,phwan3,pun3,pan4
別,bjet4,bit6,bie2
利,lij3,lei6,li4
刪,sræn1,saan1,shan1
刮,kwæt4,gwaat3,gua1
到,taw3,dou3,dao4
刲,khwej1,gwai1,kui1
刳,khu1,fu1,ku1
刵,nyi3,ji6,er4
制,tsyej3,zai3,zhi4
刷,srwæt4,caat3,shua1
券,khjwon3,hyun3,quan4
刺,tshje3,ci3,ci4
刺,tshjek4,ci3,ci4
刻,khok4,hak1,ke4
剁,twa3,doek3,duo4
剃,thej3,tai3,ti4
剄,keng2,ging2,jing3
剅,luw1,lau4,lou2
剆,la1,lo5,gen1
則,tsok4,zak1,ze2
剈,ʔwen1,jyun1,yuan1
剉,tshwa3,co3,cuo4
削,sjak4,soek3,xiao1
剋,khok4,hak1,ke4
剌,lat4,laat6,la4
前,dzen1,cin4,qian2
剎,tshræt4,saat3,cha4
剒,tshak4,cok3,cuo4
剔,thek4,tik1,ti1
剖,phju2,fau2,pou1
剗,tshrɛn2,caan2,chan3
剚,tsri3,zi3,zi4
剛,kang1,gong1,gang1
剜,ʔwan1,wun1,wan1
剝,pæwk4,mok1,bao1
剞,kje2,gei1,ji1
剟,twat4,zyut3,duo1
剡,yem2,sim6,shan4
剡,yem2,jim5,yan3
剨,xwɛk4,waak6,huo4
剩,zying3,sing6,sheng4
剪,tsjen2,zin2,jian3
剫,dak4,dok6,duo2
剬,twan1,dyun1,duan1
剬,twan1,tyun4,tuan2
剭,ʔuwk4,uk1,chuang1
剮,kwæ2,waa2,gua3
副,phjuw3,fu3,fu4
副,phjuwk4,pik1,pi4
割,kat4,got3,ge1
剴,koj1,hoi2,kai3
創,tshrjang3,cong3,chuang4
創,tshrjang1,cong1,chuang1
剸,dwan1,tyun4,tuan2
剺,li1,lei4,li2
剻,phong2,pang2,fou2
剽,bjew1,piu3,piao1
劁,dzjew1,ciu4,qiao2
劂,kjwot4,kyut3,jue2
劃,hwɛk4,waak6,hua2
劄,trɛp4,zaap3,zha2
劇,gjæk4,kek6,ju4
劈,phek4,pik1,pi1
劉,ljuw1,lau4,liu2
劊,kwaj3,kui2,gui4
劌,kjwej3,gwai3,gui4
劍,kjæm3,gim3,jian4
劐,xwak4,fok3,huo1
劑,tsjwe1,zai1,ji4
劓,ngij3,ji6,yi4
劗,dzwan1,zyun1,zuan1
劘,mwa1,mo4,mo2
劙,lje1,lai5,li2
力,lik4,lik6,li4
